X;ano;cbo_2002;grau_instrucao_apos_2005;id_municipio;sigla_uf;mulher;raca_cor;tempo_emprego;valor_remuneracao_dezembro;idade;idade2;graduacao;mestrado;doutorado;sp;log_Sal;SEXO_UF;homem_branco_sp;homem_preto_sp;mulher_branca_sp;mulher_preta_sp;homem_branco_mg;homem_preto_mg;mulher_branca_mg;mulher_preta_mg;Tempo_emprego2;Grau_instrucao;mestrado completo;mestrado_completo;graduacao_completa;grau_instrucao;capital
3;2019;251205;9;3101607;MG;1;1;4,5;2278,25;24;576;1;0;0;0;7,73;1 1 0;0;0;0;0;0;0;0;1;20,25;1 0 0;0;0;1;0;0
4;2019;251205;9;3101607;MG;1;0;9,1;3156,94;26;676;1;0;0;0;8,06;1 0 0;0;0;0;0;0;0;1;0;82,81;1 0 0;0;0;1;0;0
5;2019;251205;9;3101607;MG;1;0;8,8;2257,29;24;576;1;0;0;0;7,72;1 0 0;0;0;0;0;0;0;1;0;77,44;1 0 0;0;0;1;0;0
7;2019;251205;9;3101607;MG;0;0;8,4;2278,25;25;625;1;0;0;0;7,73;0 0 0;0;0;0;0;1;0;0;0;70,56;1 0 0;0;0;1;0;0
11;2019;251205;9;3106200;MG;0;0;187,2;9896,24;40;1600;1;0;0;0;9,20;0 0 0;0;0;0;0;1;0;0;0;35043,84;1 0 0;0;0;1;0;1
13;2019;251205;9;3106200;MG;1;0;70,9;6581,73;34;1156;1;0;0;0;8,79;1 0 0;0;0;0;0;0;0;1;0;5026,81;1 0 0;0;0;1;0;1
16;2019;251205;9;3106200;MG;1;0;139,9;6811;37;1369;1;0;0;0;8,83;1 0 0;0;0;0;0;0;0;1;0;19572,01;1 0 0;0;0;1;0;1
20;2019;251205;9;3106200;MG;1;1;40,4;5630,13;32;1024;1;0;0;0;8,64;1 1 0;0;0;0;0;0;0;0;1;1632,16;1 0 0;0;0;1;0;1
25;2019;251205;9;3106200;MG;0;0;100,2;8122,74;39;1521;1;0;0;0;9,00;0 0 0;0;0;0;0;1;0;0;0;10040,04;1 0 0;0;0;1;0;1
26;2019;251205;9;3106200;MG;0;1;7,9;7209,26;46;2116;1;0;0;0;8,88;0 1 0;0;0;0;0;0;1;0;0;62,41;1 0 0;0;0;1;0;1
28;2019;251205;9;3106200;MG;0;0;164,6;18773,91;42;1764;1;0;0;0;9,84;0 0 0;0;0;0;0;1;0;0;0;27093,16;1 0 0;0;0;1;0;1
29;2019;251205;9;3106200;MG;1;0;460,4;10932,31;66;4356;1;0;0;0;9,30;1 0 0;0;0;0;0;0;0;1;0;211968,16;1 0 0;0;0;1;0;1
34;2019;251205;9;3106200;MG;0;1;9,4;3174,52;29;841;1;0;0;0;8,06;0 1 0;0;0;0;0;0;1;0;0;88,36;1 0 0;0;0;1;0;1
35;2019;251205;9;3106200;MG;0;0;3,4;5167,15;32;1024;1;0;0;0;8,55;0 0 0;0;0;0;0;1;0;0;0;11,56;1 0 0;0;0;1;0;1
37;2019;251205;9;3106200;MG;1;1;182,5;9395,59;47;2209;1;0;0;0;9,15;1 1 0;0;0;0;0;0;0;0;1;33306,25;1 0 0;0;0;1;0;1
41;2019;251205;9;3106200;MG;0;0;166,8;28370,33;40;1600;1;0;0;0;10,25;0 0 0;0;0;0;0;1;0;0;0;27822,24;1 0 0;0;0;1;0;1
42;2019;251205;9;3106200;MG;0;0;182,8;17584,12;42;1764;1;0;0;0;9,77;0 0 0;0;0;0;0;1;0;0;0;33415,84;1 0 0;0;0;1;0;1
43;2019;251205;9;3106200;MG;1;0;4,6;7522,6;31;961;1;0;0;0;8,93;1 0 0;0;0;0;0;0;0;1;0;21,16;1 0 0;0;0;1;0;1
45;2019;251205;9;3106200;MG;0;1;124,8;4216,56;29;841;1;0;0;0;8,35;0 1 0;0;0;0;0;0;1;0;0;15575,04;1 0 0;0;0;1;0;1
46;2019;251205;9;3106200;MG;0;0;0,9;7242,14;29;841;1;0;0;0;8,89;0 0 0;0;0;0;0;1;0;0;0;0,81;1 0 0;0;0;1;0;1
48;2019;251205;10;3106200;MG;1;0;227,8;16085,52;37;1369;0;1;0;0;9,69;1 0 0;0;0;0;0;0;0;1;0;51892,84;0 1 0;1;1;0;1;1
50;2019;251205;9;3106200;MG;1;0;81,9;6080,45;36;1296;1;0;0;0;8,71;1 0 0;0;0;0;0;0;0;1;0;6707,61;1 0 0;0;0;1;0;1
53;2019;251205;9;3106200;MG;1;0;100,9;3617,72;39;1521;1;0;0;0;8,19;1 0 0;0;0;0;0;0;0;1;0;10180,81;1 0 0;0;0;1;0;1
54;2019;251205;9;3106200;MG;1;0;56,2;7488;30;900;1;0;0;0;8,92;1 0 0;0;0;0;0;0;0;1;0;3158,44;1 0 0;0;0;1;0;1
56;2019;251205;9;3106200;MG;1;0;98,4;11805,85;37;1369;1;0;0;0;9,38;1 0 0;0;0;0;0;0;0;1;0;9682,56;1 0 0;0;0;1;0;1
57;2019;251205;9;3106200;MG;0;1;2,5;2325,52;22;484;1;0;0;0;7,75;0 1 0;0;0;0;0;0;1;0;0;6,25;1 0 0;0;0;1;0;1
60;2019;251205;9;3106200;MG;0;0;366,3;15079,36;53;2809;1;0;0;0;9,62;0 0 0;0;0;0;0;1;0;0;0;134175,69;1 0 0;0;0;1;0;1
61;2019;251205;9;3106200;MG;1;0;275,7;20288,85;43;1849;1;0;0;0;9,92;1 0 0;0;0;0;0;0;0;1;0;76010,49;1 0 0;0;0;1;0;1
62;2019;251205;9;3106200;MG;0;0;92,4;9918,18;42;1764;1;0;0;0;9,20;0 0 0;0;0;0;0;1;0;0;0;8537,76;1 0 0;0;0;1;0;1
63;2019;251205;9;3106200;MG;1;0;206,9;5405,88;43;1849;1;0;0;0;8,60;1 0 0;0;0;0;0;0;0;1;0;42807,61;1 0 0;0;0;1;0;1
64;2019;251205;9;3106200;MG;0;1;12,9;2600;28;784;1;0;0;0;7,86;0 1 0;0;0;0;0;0;1;0;0;166,41;1 0 0;0;0;1;0;1
